tag,pde,nu,n_qubits,n_layers,entanglement,measurement,encoding_reps,head_width,head_depth,optimizer,n_iters,params,L2,mse_u,mse_f,final_loss
MS_burgers_n3_qapinn_s1234,burgers,0.050000,3,6,all,expval,6,20,5,adam+lbfgs,2000,1801,2.575467e-03,5.643341e-07,3.802704e-05,4.367038e-05
MS_burgers_n3_qapinn_s2025,burgers,0.050000,3,6,all,expval,6,20,5,adam+lbfgs,2000,1801,3.395623e-02,8.409939e-05,5.993358e-03,6.834352e-03
MS_burgers_n3_qapinn_s777,burgers,0.050000,3,6,all,expval,6,20,5,adam+lbfgs,2000,1801,7.665921e-03,8.691085e-06,6.237974e-04,7.107083e-04
MS_burgers_n3_qapinn_s31415,burgers,0.050000,3,6,all,expval,6,20,5,adam+lbfgs,2000,1801,7.986966e-03,3.252400e-05,7.217649e-04,1.047005e-03
MS_burgers_n3_qapinn_s8080,burgers,0.050000,3,6,all,expval,6,20,5,adam+lbfgs,2000,1801,6.293995e-03,1.550010e-05,5.469866e-04,7.019876e-04
MS_burgers_n3_twin_s1234,burgers,0.050000,3,0,classical,classical,0,20,5,adam+lbfgs,2000,1801,3.421912e-01,1.886106e-02,1.852673e-01,3.738779e-01
MS_burgers_n3_twin_s2025,burgers,0.050000,3,0,classical,classical,0,20,5,adam+lbfgs,2000,1801,7.476911e-04,1.955489e-07,1.630991e-05,1.826540e-05
MS_burgers_n3_twin_s777,burgers,0.050000,3,0,classical,classical,0,20,5,adam+lbfgs,2000,1801,2.672169e-03,7.224605e-07,4.774934e-05,5.497395e-05
MS_burgers_n3_twin_s31415,burgers,0.050000,3,0,classical,classical,0,20,5,adam+lbfgs,2000,1801,1.972724e-03,1.392029e-06,7.546219e-05,8.938248e-05
MS_burgers_n3_twin_s8080,burgers,0.050000,3,0,classical,classical,0,20,5,adam+lbfgs,2000,1801,1.477496e-02,2.481638e-05,2.149394e-03,2.397558e-03
MS_burgers_n4_qapinn_s1234,burgers,0.050000,4,6,all,expval,6,20,5,adam+lbfgs,2000,1827,2.247833e-03,1.077781e-06,6.195506e-05,7.273287e-05
MS_burgers_n4_qapinn_s2025,burgers,0.050000,4,6,all,expval,6,20,5,adam+lbfgs,2000,1827,8.885210e-03,1.396150e-05,4.534983e-04,5.931133e-04
MS_burgers_n4_qapinn_s777,burgers,0.050000,4,6,all,expval,6,20,5,adam+lbfgs,2000,1827,6.504425e-03,1.331469e-06,6.686454e-05,8.017923e-05
MS_burgers_n4_qapinn_s31415,burgers,0.050000,4,6,all,expval,6,20,5,adam+lbfgs,2000,1827,2.582048e-03,5.401359e-06,2.258797e-04,2.798933e-04
MS_burgers_n4_qapinn_s8080,burgers,0.050000,4,6,all,expval,6,20,5,adam+lbfgs,2000,1827,2.646503e-03,7.957461e-07,6.128814e-05,6.924560e-05
MS_burgers_n4_twin_s1234,burgers,0.050000,4,0,classical,classical,0,20,5,adam+lbfgs,2000,1827,9.491889e-04,4.706886e-07,2.914600e-05,3.385289e-05
MS_burgers_n4_twin_s2025,burgers,0.050000,4,0,classical,classical,0,20,5,adam+lbfgs,2000,1827,5.187836e-02,4.181197e-04,1.702149e-02,2.120268e-02
MS_burgers_n4_twin_s777,burgers,0.050000,4,0,classical,classical,0,20,5,adam+lbfgs,2000,1827,1.596130e-02,6.276697e-05,3.914976e-03,4.542646e-03
MS_burgers_n4_twin_s31415,burgers,0.050000,4,0,classical,classical,0,20,5,adam+lbfgs,2000,1827,5.876045e-04,9.239861e-08,1.574339e-05,1.666738e-05
MS_burgers_n4_twin_s8080,burgers,0.050000,4,0,classical,classical,0,20,5,adam+lbfgs,2000,1827,1.914707e-03,7.919353e-07,1.538136e-04,1.617329e-04
MS_burgers_n5_qapinn_s1234,burgers,0.050000,5,6,all,expval,6,20,5,adam+lbfgs,2000,1853,1.841121e-03,1.637005e-06,1.149957e-04,1.313658e-04
MS_burgers_n5_qapinn_s2025,burgers,0.050000,5,6,all,expval,6,20,5,adam+lbfgs,2000,1853,2.183204e-03,1.946581e-06,1.296346e-04,1.491005e-04
MS_burgers_n5_qapinn_s777,burgers,0.050000,5,6,all,expval,6,20,5,adam+lbfgs,2000,1853,2.441641e-03,2.376674e-07,2.239107e-05,2.476774e-05
MS_burgers_n5_qapinn_s31415,burgers,0.050000,5,6,all,expval,6,20,5,adam+lbfgs,2000,1853,2.146128e-03,5.667699e-07,5.590391e-05,6.157161e-05
MS_burgers_n3_qapinn_s1234,burgers,0.050000,3,6,all,expval,6,20,5,adam+lbfgs,2000,1801,2.575467e-03,5.643341e-07,3.802704e-05,4.367038e-05
MS_burgers_n3_qapinn_s2025,burgers,0.050000,3,6,all,expval,6,20,5,adam+lbfgs,2000,1801,3.395623e-02,8.409939e-05,5.993358e-03,6.834352e-03
MS_burgers_n3_qapinn_s777,burgers,0.050000,3,6,all,expval,6,20,5,adam+lbfgs,2000,1801,7.665921e-03,8.691085e-06,6.237974e-04,7.107083e-04
MS_burgers_n3_qapinn_s31415,burgers,0.050000,3,6,all,expval,6,20,5,adam+lbfgs,2000,1801,7.986966e-03,3.252400e-05,7.217649e-04,1.047005e-03
MS_burgers_n3_qapinn_s8080,burgers,0.050000,3,6,all,expval,6,20,5,adam+lbfgs,2000,1801,6.293995e-03,1.550010e-05,5.469866e-04,7.019876e-04
MS_burgers_n3_twin_s1234,burgers,0.050000,3,0,classical,classical,0,20,5,adam+lbfgs,2000,1801,3.421912e-01,1.886106e-02,1.852673e-01,3.738779e-01
MS_burgers_n3_twin_s2025,burgers,0.050000,3,0,classical,classical,0,20,5,adam+lbfgs,2000,1801,7.476911e-04,1.955489e-07,1.630991e-05,1.826540e-05
MS_burgers_n3_twin_s777,burgers,0.050000,3,0,classical,classical,0,20,5,adam+lbfgs,2000,1801,2.672169e-03,7.224605e-07,4.774934e-05,5.497395e-05
MS_burgers_n3_twin_s31415,burgers,0.050000,3,0,classical,classical,0,20,5,adam+lbfgs,2000,1801,1.972724e-03,1.392029e-06,7.546219e-05,8.938248e-05
