tag,pde,nu,n_qubits,n_layers,entanglement,measurement,encoding_reps,head_width,head_depth,optimizer,n_iters,params,L2,mse_u,mse_f,final_loss
V5_burgers_q3,burgers,0.050000,3,6,all,expval,6,20,5,adam+lbfgs,3600,1801,3.621754e-03,2.308167e-06,3.004559e-04,3.235376e-04
V5_burgers_q4,burgers,0.050000,4,6,all,expval,6,20,5,adam+lbfgs,3600,1827,5.857202e-04,1.046847e-07,1.348712e-05,1.453397e-05
V5_burgers_q5,burgers,0.050000,5,6,all,expval,6,20,5,adam+lbfgs,3600,1853,1.161264e-03,2.760304e-07,3.490543e-05,3.766573e-05
V5_burgers_q6,burgers,0.050000,6,6,all,expval,6,20,5,adam+lbfgs,2000,1879,4.726964e-03,4.141018e-06,1.762025e-04,2.176127e-04
V5_burgers_q7,burgers,0.050000,7,6,all,expval,6,20,5,adam+lbfgs,1300,1905,3.940587e-03,4.981909e-06,3.221311e-04,3.719502e-04
V5_burgers_q3,burgers,0.050000,3,6,all,expval,6,20,5,adam+lbfgs,3600,1801,3.621754e-03,2.308167e-06,3.004559e-04,3.235376e-04
V5_burgers_q4,burgers,0.050000,4,6,all,expval,6,20,5,adam+lbfgs,3600,1827,5.857202e-04,1.046847e-07,1.348712e-05,1.453397e-05
V5_burgers_q5,burgers,0.050000,5,6,all,expval,6,20,5,adam+lbfgs,3600,1853,1.161264e-03,2.760304e-07,3.490543e-05,3.766573e-05
V5_burgers_q6,burgers,0.050000,6,6,all,expval,6,20,5,adam+lbfgs,2000,1879,4.726964e-03,4.141018e-06,1.762025e-04,2.176127e-04
V5_burgers_q7,burgers,0.050000,7,6,all,expval,6,20,5,adam+lbfgs,1300,1905,3.940587e-03,4.981909e-06,3.221311e-04,3.719502e-04
V5_burgers_q8,burgers,0.050000,8,6,all,expval,6,20,5,adam+lbfgs,651,1931,5.298296e-03,8.642406e-06,7.363605e-04,8.227846e-04
V5_heat_q3,heat,0.100000,3,6,all,expval,6,20,5,adam+lbfgs,3600,1801,1.158506e-03,1.172291e-06,2.450337e-05,3.622628e-05
V5_heat_q4,heat,0.100000,4,6,all,expval,6,20,5,adam+lbfgs,3600,1827,6.980110e-04,2.766594e-07,1.216424e-05,1.493083e-05
V5_heat_q5,heat,0.100000,5,6,all,expval,6,20,5,adam+lbfgs,3600,1853,5.801252e-04,1.491345e-07,7.695064e-06,9.186409e-06
V5_heat_q6,heat,0.100000,6,6,all,expval,6,20,5,adam+lbfgs,2000,1879,8.304653e-04,3.220772e-07,3.453110e-05,3.775187e-05
V5_heat_q7,heat,0.100000,7,6,all,expval,6,20,5,adam+lbfgs,1300,1905,2.624831e-03,6.334862e-06,2.460605e-04,3.094091e-04
V5_burgers_q3,burgers,0.050000,3,6,all,expval,6,20,5,adam+lbfgs,3600,1801,3.621754e-03,2.308167e-06,3.004559e-04,3.235376e-04
V5_burgers_q4,burgers,0.050000,4,6,all,expval,6,20,5,adam+lbfgs,3600,1827,5.857202e-04,1.046847e-07,1.348712e-05,1.453397e-05
V5_burgers_q5,burgers,0.050000,5,6,all,expval,6,20,5,adam+lbfgs,3600,1853,1.161264e-03,2.760304e-07,3.490543e-05,3.766573e-05
V5_burgers_q6,burgers,0.050000,6,6,all,expval,6,20,5,adam+lbfgs,2000,1879,4.726964e-03,4.141018e-06,1.762025e-04,2.176127e-04
V5_burgers_q7,burgers,0.050000,7,6,all,expval,6,20,5,adam+lbfgs,1300,1905,3.940587e-03,4.981909e-06,3.221311e-04,3.719502e-04
V5_burgers_q8,burgers,0.050000,8,6,all,expval,6,20,5,adam+lbfgs,651,1931,5.298296e-03,8.642406e-06,7.363605e-04,8.227846e-04
V5_heat_q3,heat,0.100000,3,6,all,expval,6,20,5,adam+lbfgs,3600,1801,1.158506e-03,1.172291e-06,2.450337e-05,3.622628e-05
V5_heat_q4,heat,0.100000,4,6,all,expval,6,20,5,adam+lbfgs,3600,1827,6.980110e-04,2.766594e-07,1.216424e-05,1.493083e-05
V5_heat_q5,heat,0.100000,5,6,all,expval,6,20,5,adam+lbfgs,3600,1853,5.801252e-04,1.491345e-07,7.695064e-06,9.186409e-06
V5_heat_q6,heat,0.100000,6,6,all,expval,6,20,5,adam+lbfgs,2000,1879,8.304653e-04,3.220772e-07,3.453110e-05,3.775187e-05
V5_heat_q7,heat,0.100000,7,6,all,expval,6,20,5,adam+lbfgs,1300,1905,2.624831e-03,6.334862e-06,2.460605e-04,3.094091e-04
V5_burgers_q3,burgers,0.050000,3,6,all,expval,6,20,5,adam+lbfgs,3600,1801,3.621754e-03,2.308167e-06,3.004559e-04,3.235376e-04
V5_burgers_q4,burgers,0.050000,4,6,all,expval,6,20,5,adam+lbfgs,3600,1827,5.857202e-04,1.046847e-07,1.348712e-05,1.453397e-05
V5_burgers_q5,burgers,0.050000,5,6,all,expval,6,20,5,adam+lbfgs,3600,1853,1.161264e-03,2.760304e-07,3.490543e-05,3.766573e-05
V5_burgers_q6,burgers,0.050000,6,6,all,expval,6,20,5,adam+lbfgs,2000,1879,4.726964e-03,4.141018e-06,1.762025e-04,2.176127e-04
V5_burgers_q7,burgers,0.050000,7,6,all,expval,6,20,5,adam+lbfgs,1300,1905,3.940587e-03,4.981909e-06,3.221311e-04,3.719502e-04
V5_burgers_q8,burgers,0.050000,8,6,all,expval,6,20,5,adam+lbfgs,651,1931,5.298296e-03,8.642406e-06,7.363605e-04,8.227846e-04
V5_heat_q3,heat,0.100000,3,6,all,expval,6,20,5,adam+lbfgs,3600,1801,1.158506e-03,1.172291e-06,2.450337e-05,3.622628e-05
V5_heat_q4,heat,0.100000,4,6,all,expval,6,20,5,adam+lbfgs,3600,1827,6.980110e-04,2.766594e-07,1.216424e-05,1.493083e-05
V5_heat_q5,heat,0.100000,5,6,all,expval,6,20,5,adam+lbfgs,3600,1853,5.801252e-04,1.491345e-07,7.695064e-06,9.186409e-06
V5_heat_q6,heat,0.100000,6,6,all,expval,6,20,5,adam+lbfgs,2000,1879,8.304653e-04,3.220772e-07,3.453110e-05,3.775187e-05
V5_heat_q7,heat,0.100000,7,6,all,expval,6,20,5,adam+lbfgs,1300,1905,2.624831e-03,6.334862e-06,2.460605e-04,3.094091e-04
V5_heat_q8,heat,0.100000,8,6,all,expval,6,20,5,adam+lbfgs,651,1931,4.190493e-03,4.804381e-06,3.681371e-04,4.161810e-04
