config,pde,model,n_features,n_seeds,params,memory_kb,L2_mean,L2_sd,pde_residual_mean,data_loss_mean,train_time_s_mean,extrapolation_L2_mean,dead_runs
burgers_n3,burgers,gaaf,3,3,1801,7.04,0.11030477103058427,0.18867145526217877,0.06168768193189559,0.006375842399942637,53.5,0.38850304934353574,1
burgers_n3,burgers,qapinn,3,3,1801,0.0,0.01473253933333333,0.01684164162477323,0.0022183941466666665,3.11182697e-05,0.0,nan,0
burgers_n3,burgers,twin,3,3,1801,7.04,0.005531673976471002,0.007015057144439469,0.0007676896178357614,9.337473377020919e-06,48.0,0.046513059088255655,0
burgers_n4,burgers,gaaf,4,3,1827,7.14,0.0010897218945216437,0.00034650063575594384,1.7397447663825005e-05,1.914916367695696e-07,71.0,0.02278222149233426,0
burgers_n4,burgers,qapinn,4,3,1827,0.0,0.005879156,0.0033625755533226312,0.0001941059666666667,5.456916666666666e-06,0.0,nan,0
burgers_n4,burgers,twin,4,3,1827,7.14,0.015757594444939793,0.012769572322168266,0.0038043029211015287,8.801315206596882e-05,50.2,0.08671513531093476,0
burgers_n5,burgers,gaaf,5,3,1853,7.24,0.002150429173171121,0.0010445944519633353,2.9436501184439596e-05,3.182184684646927e-07,58.2,0.01727777636906566,0
burgers_n5,burgers,qapinn,5,3,1853,0.0,0.002155322,0.0003012293512309184,8.900712333333334e-05,1.2737511333333332e-06,0.0,nan,0
burgers_n5,burgers,twin,5,3,1853,7.24,0.0010916733995624225,0.0002484221817667399,2.279443469888065e-05,2.1566377957545532e-07,46.4,0.01894407461272578,0
burgers_n6,burgers,gaaf,6,3,1879,7.34,0.0011934390743519217,0.0005528652733250382,3.491314055281691e-05,6.763736829877113e-07,54.3,0.018434702501543523,0
burgers_n6,burgers,qapinn,6,1,1879,0.0,0.004726964,0.0,0.0001762025,4.141018e-06,0.0,nan,0
burgers_n6,burgers,twin,6,3,1879,7.34,0.001215580896984649,0.00038567533207747195,2.1246338898587663e-05,2.875762419307648e-07,47.4,0.021222909120512907,0
burgers_n7,burgers,gaaf,7,3,1905,7.44,0.0015664567335194931,0.0006459543834754682,2.0852046873187646e-05,3.22752020072888e-07,59.2,0.013488940728223436,0
burgers_n7,burgers,qapinn,7,1,1905,0.0,0.003940587,0.0,0.0003221311,4.981909e-06,0.0,nan,0
burgers_n7,burgers,twin,7,3,1905,7.44,0.001958022518109841,0.0007543296802720974,4.1168435321499906e-05,7.20233752341907e-07,47.1,0.01534881018599421,0
burgers_n8,burgers,gaaf,8,3,1931,7.54,0.0013394353913524077,0.0004576568686645731,2.1268660930218175e-05,2.3324793119172682e-07,54.2,0.015280728603200788,0
