tag,pde,nu,n_qubits,n_layers,entanglement,measurement,encoding_reps,head_width,head_depth,optimizer,n_iters,params,L2,mse_u,mse_f,final_loss
MS_burgers_n3_gaaf_s1234_r1,burgers,0.050000,3,0,gaaf,gaaf,0,20,5,adam+lbfgs,2000,1801,3.281637e-01,1.912714e-02,1.850182e-01,3.762896e-01
MS_burgers_n3_gaaf_s2025,burgers,0.050000,3,0,gaaf,gaaf,0,20,5,adam+lbfgs,2000,1801,1.220411e-03,2.247791e-07,1.927042e-05,2.151821e-05
MS_burgers_n3_gaaf_s777,burgers,0.050000,3,0,gaaf,gaaf,0,20,5,adam+lbfgs,2000,1801,1.530173e-03,1.588738e-07,2.559358e-05,2.718232e-05
MS_burgers_n3_twin_s1234_r1,burgers,0.050000,3,0,classical,classical,0,20,5,adam+lbfgs,2000,1801,1.360008e-02,2.731124e-05,2.249184e-03,2.522296e-03
MS_burgers_n3_twin_s2025,burgers,0.050000,3,0,classical,classical,0,20,5,adam+lbfgs,2000,1801,8.756495e-04,1.860975e-07,1.579675e-05,1.765773e-05
MS_burgers_n3_twin_s777,burgers,0.050000,3,0,classical,classical,0,20,5,adam+lbfgs,2000,1801,2.119294e-03,5.150808e-07,3.808827e-05,4.323908e-05
MS_burgers_n4_gaaf_s1234_r1,burgers,0.050000,4,0,gaaf,gaaf,0,20,5,adam+lbfgs,2000,1827,9.464618e-04,2.065906e-07,2.009275e-05,2.215865e-05
MS_burgers_n4_gaaf_s2025_r1,burgers,0.050000,4,0,gaaf,gaaf,0,20,5,adam+lbfgs,2000,1827,8.378243e-04,1.972194e-07,1.620989e-05,1.818209e-05
MS_burgers_n4_gaaf_s777_r1,burgers,0.050000,4,0,gaaf,gaaf,0,20,5,adam+lbfgs,2000,1827,1.484880e-03,1.706649e-07,1.588970e-05,1.759635e-05
MS_burgers_n4_twin_s1234,burgers,0.050000,4,0,classical,classical,0,20,5,adam+lbfgs,2000,1827,1.031449e-03,4.461802e-07,3.091523e-05,3.537703e-05
MS_burgers_n4_twin_s2025,burgers,0.050000,4,0,classical,classical,0,20,5,adam+lbfgs,2000,1827,2.247455e-02,1.329436e-04,5.261554e-03,6.590989e-03
MS_burgers_n4_twin_s777,burgers,0.050000,4,0,classical,classical,0,20,5,adam+lbfgs,2000,1827,2.376678e-02,1.306497e-04,6.120440e-03,7.426937e-03
MS_burgers_n5_gaaf_s1234,burgers,0.050000,5,0,gaaf,gaaf,0,20,5,adam+lbfgs,2000,1853,1.351651e-03,1.423841e-07,1.749355e-05,1.891739e-05
MS_burgers_n5_gaaf_s2025,burgers,0.050000,5,0,gaaf,gaaf,0,20,5,adam+lbfgs,2000,1853,1.767103e-03,1.949880e-07,2.191604e-05,2.386592e-05
MS_burgers_n5_gaaf_s777,burgers,0.050000,5,0,gaaf,gaaf,0,20,5,adam+lbfgs,2000,1853,3.332533e-03,6.172833e-07,4.889992e-05,5.507275e-05
MS_burgers_n5_twin_s1234,burgers,0.050000,5,0,classical,classical,0,20,5,adam+lbfgs,2000,1853,1.378518e-03,3.375353e-07,3.384834e-05,3.722369e-05
MS_burgers_n5_twin_s2025,burgers,0.050000,5,0,classical,classical,0,20,5,adam+lbfgs,2000,1853,9.463712e-04,1.482351e-07,1.615817e-05,1.764052e-05
