config,pde,model,n_features,n_seeds,params,memory_kb,L2_mean,L2_sd,pde_residual_mean,data_loss_mean,train_time_s_mean,extrapolation_L2_mean,dead_runs
heat_n3,heat,qapinn,3,3,1801,7.04,0.0025752633747640947,0.0031576949099076826,9.059094024147878e-05,2.3858627441105304e-06,0.0,0.025887635708893363,0
heat_n3,heat,twin,3,3,1801,7.04,0.0010754963061354757,0.0005490992489176086,2.386186921891446e-05,1.0421431468898845e-06,0.0,0.015881738159557058,0
heat_n4,heat,qapinn,4,3,1827,7.14,0.0018076934566843672,0.002003130527613458,6.842553769577837e-05,6.014367817404794e-06,0.0,0.029583137396578252,0
heat_n4,heat,twin,4,3,1827,7.14,0.0010325938874015605,0.0005956780008763717,3.182253491710677e-05,6.42440859621729e-07,0.0,0.02200508646385684,0
heat_n5,heat,qapinn,5,3,1853,7.24,0.001132515352647352,0.0005476332602933758,3.624561062072947e-05,6.658653101491533e-07,0.0,0.02968147555511183,0
heat_n5,heat,twin,5,3,1853,7.24,0.0009216516174680181,0.0003830224886643473,1.79304427850487e-05,7.027779200067622e-07,0.0,0.013025904571350154,0
heat_n6,heat,qapinn,6,3,1879,7.34,0.0012241213752177244,0.0007451909155466934,3.9896921710654475e-05,7.478502842180509e-07,0.0,0.022679424677800833,0
heat_n6,heat,twin,6,3,1879,7.34,0.0012067221055378204,0.0005250607502440039,2.817553710580493e-05,1.1841832853557814e-06,0.0,0.019171182643361772,0
heat_n7,heat,qapinn,7,3,1905,7.44,0.002038253050887318,0.0008363037914595744,9.605256127542816e-05,2.0975043829215187e-06,0.0,0.02471155938702455,0
heat_n7,heat,twin,7,3,1905,7.44,0.0075254211983216135,0.010161432377771666,0.0011503913046908565,0.00011075494040824196,0.0,0.04222660705612067,0
heat_n8,heat,qapinn,8,3,1931,7.54,0.0034332786467509515,0.000672691589429343,0.00024512531914903474,4.2164581373072e-06,0.0,0.08067833170478718,0
heat_n8,heat,twin,8,3,1931,7.54,0.001761120251088933,0.0006114464270980688,6.555586636144047e-05,2.0293896720128637e-06,0.0,0.021164085568274784,0
