tag,pde,nu,n_qubits,n_layers,entanglement,measurement,encoding_reps,head_width,head_depth,optimizer,n_iters,params,L2,mse_u,mse_f,final_loss
MS_heat_n3_qapinn_s1234,heat,0.100000,3,6,all,expval,6,20,5,adam+lbfgs,2000,1801,1.128778e-03,7.063701e-07,2.454585e-05,3.160955e-05
MS_heat_n3_qapinn_s2025,heat,0.100000,3,6,all,expval,6,20,5,adam+lbfgs,2000,1801,3.999207e-04,4.123909e-08,7.449153e-06,7.861544e-06
MS_heat_n3_qapinn_s777,heat,0.100000,3,6,all,expval,6,20,5,adam+lbfgs,2000,1801,6.197091e-03,6.409979e-06,2.397778e-04,3.038776e-04
MS_heat_n3_twin_s1234,heat,0.100000,3,0,classical,classical,0,20,5,adam+lbfgs,2000,1801,1.276642e-03,5.063496e-07,3.228238e-05,3.734587e-05
MS_heat_n3_twin_s2025,heat,0.100000,3,0,classical,classical,0,20,5,adam+lbfgs,2000,1801,4.541882e-04,8.518625e-08,7.751827e-06,8.603690e-06
MS_heat_n3_twin_s777,heat,0.100000,3,0,classical,classical,0,20,5,adam+lbfgs,2000,1801,1.495659e-03,2.534894e-06,3.155140e-05,5.690034e-05
MS_heat_n4_qapinn_s1234,heat,0.100000,4,6,all,expval,6,20,5,adam+lbfgs,2000,1827,6.916061e-04,2.370361e-07,1.005824e-05,1.242860e-05
MS_heat_n4_qapinn_s2025,heat,0.100000,4,6,all,expval,6,20,5,adam+lbfgs,2000,1827,4.120244e-03,1.769616e-05,1.818296e-04,3.587912e-04
MS_heat_n4_qapinn_s777,heat,0.100000,4,6,all,expval,6,20,5,adam+lbfgs,2000,1827,6.112305e-04,1.099089e-07,1.338876e-05,1.448785e-05
MS_heat_n4_twin_s1234,heat,0.100000,4,0,classical,classical,0,20,5,adam+lbfgs,2000,1827,4.385509e-04,6.037742e-08,4.885749e-06,5.489523e-06
MS_heat_n4_twin_s2025,heat,0.100000,4,0,classical,classical,0,20,5,adam+lbfgs,2000,1827,1.629894e-03,1.448395e-06,5.780915e-05,7.229310e-05
MS_heat_n4_twin_s777,heat,0.100000,4,0,classical,classical,0,20,5,adam+lbfgs,2000,1827,1.029337e-03,4.185506e-07,3.277270e-05,3.695821e-05
MS_heat_n5_qapinn_s1234,heat,0.100000,5,6,all,expval,6,20,5,adam+lbfgs,2000,1853,1.755204e-03,1.598390e-06,8.187368e-05,9.785758e-05
MS_heat_n5_qapinn_s2025,heat,0.100000,5,6,all,expval,6,20,5,adam+lbfgs,2000,1853,9.165458e-04,2.570237e-07,1.294993e-05,1.552017e-05
MS_heat_n5_qapinn_s777,heat,0.100000,5,6,all,expval,6,20,5,adam+lbfgs,2000,1853,7.257962e-04,1.421820e-07,1.391322e-05,1.533504e-05
MS_heat_n5_twin_s1234,heat,0.100000,5,0,classical,classical,0,20,5,adam+lbfgs,2000,1853,1.336713e-03,1.693796e-06,2.885832e-05,4.579627e-05
MS_heat_n5_twin_s2025,heat,0.100000,5,0,classical,classical,0,20,5,adam+lbfgs,2000,1853,8.464052e-04,2.702505e-07,1.439787e-05,1.710037e-05
MS_heat_n5_twin_s777_r1,heat,0.100000,5,0,classical,classical,0,20,5,adam+lbfgs,2000,1853,5.818365e-04,1.442876e-07,1.053514e-05,1.197802e-05
MS_heat_n6_qapinn_s1234,heat,0.100000,6,6,all,expval,6,20,5,adam+lbfgs,1500,1879,2.082074e-03,1.464951e-06,7.252958e-05,8.717908e-05
MS_heat_n6_qapinn_s2025,heat,0.100000,6,6,all,expval,6,20,5,adam+lbfgs,1500,1879,7.381617e-04,2.880174e-07,2.031362e-05,2.319379e-05
MS_heat_n6_qapinn_s777,heat,0.100000,6,6,all,expval,6,20,5,adam+lbfgs,1500,1879,8.521281e-04,4.905830e-07,2.684757e-05,3.175340e-05
MS_heat_n6_twin_s1234,heat,0.100000,6,0,classical,classical,0,20,5,adam+lbfgs,1500,1879,8.349643e-04,4.348390e-07,1.265252e-05,1.700091e-05
MS_heat_n6_twin_s2025,heat,0.100000,6,0,classical,classical,0,20,5,adam+lbfgs,1500,1879,1.807373e-03,2.544138e-06,4.958904e-05,7.503042e-05
MS_heat_n6_twin_s777,heat,0.100000,6,0,classical,classical,0,20,5,adam+lbfgs,1500,1879,9.778289e-04,5.735732e-07,2.228506e-05,2.802079e-05
MS_heat_n7_qapinn_s1234,heat,0.100000,7,6,all,expval,6,20,5,adam+lbfgs,1100,1905,1.684457e-03,2.035157e-06,3.796772e-05,5.831929e-05
MS_heat_n7_qapinn_s2025,heat,0.100000,7,6,all,expval,6,20,5,adam+lbfgs,1100,1905,2.993306e-03,3.371239e-06,1.969332e-04,2.306456e-04
MS_heat_n7_qapinn_s777,heat,0.100000,7,6,all,expval,6,20,5,adam+lbfgs,1100,1905,1.436996e-03,8.861172e-07,5.325674e-05,6.211791e-05
MS_heat_n7_twin_s1234,heat,0.100000,7,0,classical,classical,0,20,5,adam+lbfgs,1100,1905,1.687294e-03,6.417403e-07,5.086285e-05,5.728026e-05
MS_heat_n7_twin_s2025,heat,0.100000,7,0,classical,classical,0,20,5,adam+lbfgs,1100,1905,1.925879e-02,3.306429e-04,3.341397e-03,6.647826e-03
MS_heat_n7_twin_s777,heat,0.100000,7,0,classical,classical,0,20,5,adam+lbfgs,1100,1905,1.630183e-03,9.801383e-07,5.891425e-05,6.871564e-05
MS_heat_n8_qapinn_s1234,heat,0.100000,8,6,all,expval,6,20,5,adam+lbfgs,551,1931,3.952953e-03,3.056714e-06,3.236716e-04,3.542387e-04
MS_heat_n8_qapinn_s2025,heat,0.100000,8,6,all,expval,6,20,5,adam+lbfgs,551,1931,2.673474e-03,5.571198e-06,1.498477e-04,2.055596e-04
