tag,pde,nu,n_qubits,n_layers,entanglement,measurement,encoding_reps,head_width,head_depth,optimizer,n_iters,params,L2,mse_u,mse_f,final_loss
REPRO_shah_easy_n3_shah_s1234,burgers,0.050000,3,8,all,probs,8,5,1,adam,2000,75,7.753136e-01,3.948632e-02,4.907778e-01,8.856410e-01
REPRO_shah_easy_n3_shah_s2025,burgers,0.050000,3,8,all,probs,8,5,1,adam,2000,75,7.639417e-01,4.732240e-02,4.976405e-01,9.708645e-01
REPRO_shah_easy_n3_shah_s777,burgers,0.050000,3,8,all,probs,8,5,1,adam,2000,75,7.701360e-01,6.059700e-02,4.556296e-01,1.061599e+00
REPRO_shah_easy_n3_recipe_s1234,burgers,0.050000,3,6,all,expval,6,11,1,adam+lbfgs,2000,76,3.110886e-02,2.457535e-04,9.119186e-03,1.157672e-02
REPRO_shah_easy_n3_recipe_s2025,burgers,0.050000,3,6,all,expval,6,11,1,adam+lbfgs,2000,76,5.581286e-02,3.244429e-04,1.343736e-02,1.668179e-02
REPRO_shah_easy_n3_recipe_s777,burgers,0.050000,3,6,all,expval,6,11,1,adam+lbfgs,2000,76,1.137908e-01,1.173536e-03,2.144567e-02,3.318103e-02
REPRO_shah_hard_n3_shah_s1234,burgers,0.003183,3,8,all,probs,8,5,1,adam,2000,75,6.535612e-01,2.605856e-02,4.222622e-01,6.828477e-01
REPRO_shah_hard_n3_shah_s2025,burgers,0.003183,3,8,all,probs,8,5,1,adam,2000,75,7.126680e-01,3.080848e-02,4.239489e-01,7.320337e-01
REPRO_shah_hard_n3_shah_s777,burgers,0.003183,3,8,all,probs,8,5,1,adam,2000,75,6.656739e-01,3.601076e-02,4.311067e-01,7.912143e-01
REPRO_shah_hard_n3_recipe_s1234,burgers,0.003183,3,6,all,expval,6,11,1,adam+lbfgs,2000,76,4.242434e-01,5.654772e-03,1.287318e-01,1.852795e-01
REPRO_shah_hard_n3_recipe_s2025,burgers,0.003183,3,6,all,expval,6,11,1,adam+lbfgs,2000,76,4.160962e-01,4.929712e-03,1.110599e-01,1.603571e-01
REPRO_shah_hard_n3_recipe_s777,burgers,0.003183,3,6,all,expval,6,11,1,adam+lbfgs,2000,76,4.855201e-01,6.382294e-03,1.259868e-01,1.898097e-01
REPRO_shah_easy_n4_shah_s1234,burgers,0.050000,4,8,all,probs,8,9,1,adam,2000,195,6.890624e-01,2.290434e-02,4.419204e-01,6.709638e-01
REPRO_shah_easy_n4_shah_s2025,burgers,0.050000,4,8,all,probs,8,9,1,adam,2000,195,7.889200e-01,3.337099e-02,5.148032e-01,8.485132e-01
REPRO_shah_easy_n4_shah_s777,burgers,0.050000,4,8,all,probs,8,9,1,adam,2000,195,7.992599e-01,4.271574e-02,5.136586e-01,9.408160e-01
REPRO_shah_easy_n4_recipe_s1234,burgers,0.050000,4,6,all,expval,6,27,1,adam+lbfgs,2000,189,9.617295e-03,1.495475e-05,2.321098e-03,2.470646e-03
REPRO_shah_easy_n4_recipe_s2025,burgers,0.050000,4,6,all,expval,6,27,1,adam+lbfgs,2000,189,2.908794e-02,1.533534e-04,4.869350e-03,6.402884e-03
REPRO_shah_easy_n4_recipe_s777,burgers,0.050000,4,6,all,expval,6,27,1,adam+lbfgs,2000,189,2.562755e-02,1.489532e-04,6.858408e-03,8.347940e-03
REPRO_shah_hard_n4_shah_s1234,burgers,0.003183,4,8,all,probs,8,9,1,adam,2000,195,6.549681e-01,2.443303e-02,4.193961e-01,6.637264e-01
