tag,pde,nu,n_qubits,n_layers,entanglement,measurement,encoding_reps,head_width,head_depth,optimizer,n_iters,params,L2,mse_u,mse_f,final_loss
B1_q3_linear_expval_v3,burgers,0.050000,3,6,linear,expval,6,20,5,adam+lbfgs,1400,1801,1.414378e-02,2.534316e-05,2.858557e-03,3.111988e-03
B2_q4_linear_expval_v3,burgers,0.050000,4,6,linear,expval,6,20,5,adam+lbfgs,1400,1827,1.523385e-02,4.815159e-05,2.142226e-03,2.623742e-03
B3_q5_linear_expval_v3,burgers,0.050000,5,6,linear,expval,6,20,5,adam+lbfgs,1400,1853,2.533816e-02,9.594255e-05,3.863814e-03,4.823240e-03
B4_q3_none_expval_v3,burgers,0.050000,3,6,none,expval,6,20,5,adam+lbfgs,1400,1801,1.046122e+00,1.420701e-01,9.303629e-02,1.513737e+00
B5_q4_none_expval_v3,burgers,0.050000,4,6,none,expval,6,20,5,adam+lbfgs,1400,1827,1.047925e+00,1.357454e-01,5.412032e-02,1.411574e+00
B6_q5_none_expval_v3,burgers,0.050000,5,6,none,expval,6,20,5,adam+lbfgs,1400,1853,1.042394e+00,1.577055e-01,4.826733e-02,1.625322e+00
B10_q5_all_expval_v3,burgers,0.050000,5,6,all,expval,6,20,5,adam+lbfgs,1400,1853,4.879487e-03,1.729308e-05,6.166531e-04,7.895839e-04
B7_q3_linear_probs_v3,burgers,0.050000,3,6,linear,probs,6,20,5,adam+lbfgs,1400,1901,5.226834e-03,9.328815e-06,3.956143e-04,4.889025e-04
B8_q4_linear_probs_v3,burgers,0.050000,4,6,linear,probs,6,20,5,adam+lbfgs,1400,2067,2.969420e-03,2.067705e-06,1.581555e-04,1.788326e-04
B9_q5_linear_probs_v3,burgers,0.050000,5,6,linear,probs,6,20,5,adam+lbfgs,1400,2393,4.233697e-03,7.091125e-06,5.067148e-04,5.776261e-04
B11_q4_depth3_v3,burgers,0.050000,4,3,linear,expval,3,20,5,adam+lbfgs,1400,1815,4.654955e-03,6.527041e-06,5.057367e-04,5.710071e-04
B12_q4_depth9_v3,burgers,0.050000,4,9,linear,expval,9,20,5,adam+lbfgs,1400,1839,5.933554e-03,7.193145e-06,5.532932e-04,6.252246e-04
B13_q6_linear_expval_v3,burgers,0.050000,6,6,linear,expval,6,20,5,adam+lbfgs,1400,1879,1.195557e-02,1.520816e-05,7.473961e-04,8.994777e-04
B14_q7_linear_expval_v3,burgers,0.050000,7,6,linear,expval,6,20,5,adam+lbfgs,1400,1905,3.868931e-03,4.170334e-06,2.414051e-04,2.831085e-04
B1_q3_linear_expval_v3,burgers,0.050000,3,6,linear,expval,6,20,5,adam+lbfgs,1400,1801,1.414378e-02,2.534316e-05,2.858557e-03,3.111988e-03
B2_q4_linear_expval_v3,burgers,0.050000,4,6,linear,expval,6,20,5,adam+lbfgs,1400,1827,1.523385e-02,4.815159e-05,2.142226e-03,2.623742e-03
B3_q5_linear_expval_v3,burgers,0.050000,5,6,linear,expval,6,20,5,adam+lbfgs,1400,1853,2.533816e-02,9.594255e-05,3.863814e-03,4.823240e-03
B4_q3_none_expval_v3,burgers,0.050000,3,6,none,expval,6,20,5,adam+lbfgs,1400,1801,1.046122e+00,1.420701e-01,9.303629e-02,1.513737e+00
B5_q4_none_expval_v3,burgers,0.050000,4,6,none,expval,6,20,5,adam+lbfgs,1400,1827,1.047925e+00,1.357454e-01,5.412032e-02,1.411574e+00
B6_q5_none_expval_v3,burgers,0.050000,5,6,none,expval,6,20,5,adam+lbfgs,1400,1853,1.042394e+00,1.577055e-01,4.826733e-02,1.625322e+00
B10_q5_all_expval_v3,burgers,0.050000,5,6,all,expval,6,20,5,adam+lbfgs,1400,1853,4.879487e-03,1.729308e-05,6.166531e-04,7.895839e-04
B7_q3_linear_probs_v3,burgers,0.050000,3,6,linear,probs,6,20,5,adam+lbfgs,1400,1901,5.226834e-03,9.328815e-06,3.956143e-04,4.889025e-04
B8_q4_linear_probs_v3,burgers,0.050000,4,6,linear,probs,6,20,5,adam+lbfgs,1400,2067,2.969420e-03,2.067705e-06,1.581555e-04,1.788326e-04
B9_q5_linear_probs_v3,burgers,0.050000,5,6,linear,probs,6,20,5,adam+lbfgs,1400,2393,4.233697e-03,7.091125e-06,5.067148e-04,5.776261e-04
B11_q4_depth3_v3,burgers,0.050000,4,3,linear,expval,3,20,5,adam+lbfgs,1400,1815,4.654955e-03,6.527041e-06,5.057367e-04,5.710071e-04
B12_q4_depth9_v3,burgers,0.050000,4,9,linear,expval,9,20,5,adam+lbfgs,1400,1839,5.933554e-03,7.193145e-06,5.532932e-04,6.252246e-04
B13_q6_linear_expval_v3,burgers,0.050000,6,6,linear,expval,6,20,5,adam+lbfgs,1400,1879,1.195557e-02,1.520816e-05,7.473961e-04,8.994777e-04
B14_q7_linear_expval_v3,burgers,0.050000,7,6,linear,expval,6,20,5,adam+lbfgs,1400,1905,3.868931e-03,4.170334e-06,2.414051e-04,2.831085e-04
