tag,pde,nu,n_qubits,n_layers,entanglement,measurement,encoding_reps,head_width,head_depth,optimizer,n_iters,params,L2,mse_u,mse_f,final_loss
MS_hard_burgers_n3_gaaf_s1234_r1,burgers,0.003183,3,0,gaaf,gaaf,0,20,5,adam+lbfgs,4400,1801,1.676950e-01,8.216431e-05,2.346670e-03,3.168313e-03
MS_hard_burgers_n3_gaaf_s2025,burgers,0.003183,3,0,gaaf,gaaf,0,20,5,adam+lbfgs,4400,1801,3.849192e-02,2.384815e-06,1.785167e-04,2.023649e-04
MS_hard_burgers_n3_gaaf_s777,burgers,0.003183,3,0,gaaf,gaaf,0,20,5,adam+lbfgs,4400,1801,2.071559e-02,1.874355e-06,9.781498e-05,1.165585e-04
MS_hard_burgers_n4_gaaf_s1234_r1,burgers,0.003183,4,0,gaaf,gaaf,0,20,5,adam+lbfgs,4400,1827,4.703878e-03,7.523088e-07,7.813340e-05,8.565649e-05
MS_hard_burgers_n4_gaaf_s2025_r1,burgers,0.003183,4,0,gaaf,gaaf,0,20,5,adam+lbfgs,4400,1827,4.619087e-02,5.091888e-05,1.928054e-03,2.437242e-03
MS_hard_burgers_n4_gaaf_s777_r1,burgers,0.003183,4,0,gaaf,gaaf,0,20,5,adam+lbfgs,4400,1827,9.241683e-03,6.848201e-07,5.982301e-05,6.667121e-05
MS_hard_burgers_n5_gaaf_s1234,burgers,0.003183,5,0,gaaf,gaaf,0,20,5,adam+lbfgs,4400,1853,2.676422e-02,1.884443e-06,1.479644e-04,1.668088e-04
MS_hard_burgers_n5_gaaf_s2025,burgers,0.003183,5,0,gaaf,gaaf,0,20,5,adam+lbfgs,4400,1853,2.872913e-01,4.155909e-04,1.192420e-02,1.608010e-02
MS_hard_burgers_n5_gaaf_s777,burgers,0.003183,5,0,gaaf,gaaf,0,20,5,adam+lbfgs,4400,1853,7.712665e-02,1.526680e-04,5.311316e-03,6.837997e-03
MS_hard_burgers_n6_gaaf_s1234,burgers,0.003183,6,0,gaaf,gaaf,0,20,5,adam+lbfgs,4400,1879,7.726974e-02,8.273129e-05,4.700482e-03,5.527795e-03
MS_hard_burgers_n6_gaaf_s2025,burgers,0.003183,6,0,gaaf,gaaf,0,20,5,adam+lbfgs,4400,1879,9.108290e-02,5.364105e-06,2.126109e-04,2.662519e-04
MS_hard_burgers_n6_gaaf_s777,burgers,0.003183,6,0,gaaf,gaaf,0,20,5,adam+lbfgs,4400,1879,6.584710e-02,1.222742e-05,8.592544e-04,9.815285e-04
MS_hard_burgers_n7_gaaf_s1234,burgers,0.003183,7,0,gaaf,gaaf,0,20,5,adam+lbfgs,4400,1905,7.456786e-02,4.127173e-05,2.135907e-03,2.548624e-03
MS_hard_burgers_n7_gaaf_s2025,burgers,0.003183,7,0,gaaf,gaaf,0,20,5,adam+lbfgs,4400,1905,9.694402e-02,1.289334e-04,6.317325e-03,7.606660e-03
MS_hard_burgers_n7_gaaf_s777,burgers,0.003183,7,0,gaaf,gaaf,0,20,5,adam+lbfgs,4400,1905,1.977942e-01,2.871131e-04,8.715528e-03,1.158666e-02
MS_hard_burgers_n8_gaaf_s1234,burgers,0.003183,8,0,gaaf,gaaf,0,20,5,adam+lbfgs,4400,1931,9.368587e-03,2.971423e-06,1.810267e-04,2.107409e-04
MS_hard_burgers_n8_gaaf_s2025,burgers,0.003183,8,0,gaaf,gaaf,0,20,5,adam+lbfgs,4400,1931,1.475599e-01,1.503311e-04,5.465759e-03,6.969071e-03
MS_hard_burgers_n8_gaaf_s777,burgers,0.003183,8,0,gaaf,gaaf,0,20,5,adam+lbfgs,4400,1931,1.662358e-01,4.595020e-04,1.327073e-02,1.786575e-02
