tag,pde,nu,n_qubits,n_layers,entanglement,measurement,encoding_reps,head_width,head_depth,optimizer,n_iters,params,L2,mse_u,mse_f,final_loss
MS_hard_burgers_n3_twin_s1234,burgers,0.003183,3,0,classical,classical,0,20,5,adam+lbfgs,4400,1801,2.043364e-02,6.592073e-06,5.795317e-04,6.454524e-04
MS_hard_burgers_n3_twin_s2025,burgers,0.003183,3,0,classical,classical,0,20,5,adam+lbfgs,4400,1801,8.740495e-03,1.549279e-06,1.450818e-04,1.605746e-04
MS_hard_burgers_n3_twin_s777,burgers,0.003183,3,0,classical,classical,0,20,5,adam+lbfgs,4400,1801,1.097449e-02,5.998619e-06,2.765124e-04,3.364986e-04
MS_hard_burgers_n4_twin_s1234,burgers,0.003183,4,0,classical,classical,0,20,5,adam+lbfgs,4400,1827,9.329938e-02,3.838221e-05,2.004030e-03,2.387852e-03
MS_hard_burgers_n4_twin_s2025,burgers,0.003183,4,0,classical,classical,0,20,5,adam+lbfgs,4400,1827,3.674185e-02,1.554039e-05,1.338432e-03,1.493836e-03
MS_hard_burgers_n4_twin_s777,burgers,0.003183,4,0,classical,classical,0,20,5,adam+lbfgs,4400,1827,5.770562e-03,2.651083e-06,2.280429e-04,2.545537e-04
MS_hard_burgers_n5_twin_s1234,burgers,0.003183,5,0,classical,classical,0,20,5,adam+lbfgs,4400,1853,5.826507e-01,2.898124e-05,2.256098e-03,2.545911e-03
MS_hard_burgers_n5_twin_s2025,burgers,0.003183,5,0,classical,classical,0,20,5,adam+lbfgs,4400,1853,1.073502e-02,3.331182e-06,1.789848e-04,2.122966e-04
MS_hard_burgers_n5_twin_s777,burgers,0.003183,5,0,classical,classical,0,20,5,adam+lbfgs,4400,1853,1.927371e-03,3.854750e-07,3.499773e-05,3.885248e-05
MS_hard_burgers_n6_twin_s1234,burgers,0.003183,6,0,classical,classical,0,20,5,adam+lbfgs,4400,1879,5.695397e-03,3.627722e-07,5.082921e-05,5.445693e-05
MS_hard_burgers_n6_twin_s2025,burgers,0.003183,6,0,classical,classical,0,20,5,adam+lbfgs,4400,1879,6.373223e-03,1.957534e-07,2.466536e-05,2.662290e-05
MS_hard_burgers_n6_twin_s777,burgers,0.003183,6,0,classical,classical,0,20,5,adam+lbfgs,4400,1879,5.045649e-03,9.413587e-07,1.009127e-04,1.103263e-04
MS_hard_burgers_n7_twin_s1234,burgers,0.003183,7,0,classical,classical,0,20,5,adam+lbfgs,4400,1905,4.176404e-03,3.401796e-07,4.463788e-05,4.803968e-05
MS_hard_burgers_n7_twin_s2025,burgers,0.003183,7,0,classical,classical,0,20,5,adam+lbfgs,4400,1905,1.934996e-01,5.281080e-04,1.774216e-02,2.302324e-02
MS_hard_burgers_n7_twin_s777,burgers,0.003183,7,0,classical,classical,0,20,5,adam+lbfgs,4400,1905,1.200270e-02,6.850386e-07,8.429233e-05,9.114272e-05
MS_hard_burgers_n8_twin_s1234,burgers,0.003183,8,0,classical,classical,0,20,5,adam+lbfgs,4400,1931,1.024380e-02,2.462747e-07,3.523767e-05,3.770042e-05
MS_hard_burgers_n8_twin_s2025,burgers,0.003183,8,0,classical,classical,0,20,5,adam+lbfgs,4400,1931,1.711294e-02,3.493719e-07,4.143381e-05,4.492753e-05
MS_hard_burgers_n8_twin_s777,burgers,0.003183,8,0,classical,classical,0,20,5,adam+lbfgs,4400,1931,5.594042e-02,9.827854e-07,4.851631e-05,5.834417e-05
