budget_steps,dead,host,in_primary,model,n_feat,nu,pde,retry,seed,tag
2016,False,roland-Latitude-7490,True,gaaf,3,0.01/pi,burgers,False,1234,MS_hard_burgers_n3_gaaf_s1234
2016,False,roland-Latitude-7490,True,gaaf,3,0.01/pi,burgers,True,1234,MS_hard_burgers_n3_gaaf_s1234_r1
2016,False,roland-Latitude-7490,True,gaaf,3,0.01/pi,burgers,False,2025,MS_hard_burgers_n3_gaaf_s2025
2016,False,roland-Latitude-7490,True,gaaf,3,0.01/pi,burgers,False,777,MS_hard_burgers_n3_gaaf_s777
2016,False,roland-Latitude-7490,True,gaaf,4,0.01/pi,burgers,False,1234,MS_hard_burgers_n4_gaaf_s1234
2016,False,roland-Latitude-7490,True,gaaf,4,0.01/pi,burgers,True,1234,MS_hard_burgers_n4_gaaf_s1234_r1
2016,False,roland-Latitude-7490,True,gaaf,4,0.01/pi,burgers,False,2025,MS_hard_burgers_n4_gaaf_s2025
2016,False,roland-Latitude-7490,True,gaaf,4,0.01/pi,burgers,True,2025,MS_hard_burgers_n4_gaaf_s2025_r1
2016,False,roland-Latitude-7490,True,gaaf,4,0.01/pi,burgers,False,777,MS_hard_burgers_n4_gaaf_s777
2016,False,roland-Latitude-7490,True,gaaf,4,0.01/pi,burgers,True,777,MS_hard_burgers_n4_gaaf_s777_r1
2016,False,roland-Latitude-7490,True,gaaf,5,0.01/pi,burgers,False,1234,MS_hard_burgers_n5_gaaf_s1234
2016,False,roland-Latitude-7490,True,gaaf,5,0.01/pi,burgers,False,2025,MS_hard_burgers_n5_gaaf_s2025
2016,False,roland-Latitude-7490,True,gaaf,5,0.01/pi,burgers,False,777,MS_hard_burgers_n5_gaaf_s777
2016,False,roland-Latitude-7490,True,gaaf,6,0.01/pi,burgers,False,1234,MS_hard_burgers_n6_gaaf_s1234
2016,False,roland-Latitude-7490,True,gaaf,6,0.01/pi,burgers,False,2025,MS_hard_burgers_n6_gaaf_s2025
2016,False,roland-Latitude-7490,True,gaaf,6,0.01/pi,burgers,False,777,MS_hard_burgers_n6_gaaf_s777
2016,False,roland-Latitude-7490,True,gaaf,7,0.01/pi,burgers,False,1234,MS_hard_burgers_n7_gaaf_s1234
2016,False,roland-Latitude-7490,True,gaaf,7,0.01/pi,burgers,False,2025,MS_hard_burgers_n7_gaaf_s2025
2016,False,roland-Latitude-7490,True,gaaf,7,0.01/pi,burgers,False,777,MS_hard_burgers_n7_gaaf_s777
2016,False,roland-Latitude-7490,False,gaaf,8,0.01/pi,burgers,False,1234,MS_hard_burgers_n8_gaaf_s1234
2016,False,roland-Latitude-7490,False,gaaf,8,0.01/pi,burgers,False,2025,MS_hard_burgers_n8_gaaf_s2025
2016,False,roland-Latitude-7490,False,gaaf,8,0.01/pi,burgers,False,777,MS_hard_burgers_n8_gaaf_s777
2016,False,,True,qapinn,3,0.01/pi,burgers,False,1234,MS_hard_burgers_n3_qapinn_s1234
2016,False,,True,qapinn,3,0.01/pi,burgers,False,2025,MS_hard_burgers_n3_qapinn_s2025
2016,False,,True,qapinn,3,0.01/pi,burgers,False,777,MS_hard_burgers_n3_qapinn_s777
2016,False,,True,qapinn,4,0.01/pi,burgers,False,1234,MS_hard_burgers_n4_qapinn_s1234
2016,False,,True,qapinn,4,0.01/pi,burgers,False,2025,MS_hard_burgers_n4_qapinn_s2025
2016,False,,True,qapinn,4,0.01/pi,burgers,False,777,MS_hard_burgers_n4_qapinn_s777
2016,False,,True,qapinn,5,0.01/pi,burgers,False,1234,MS_hard_burgers_n5_qapinn_s1234
2016,False,,True,qapinn,5,0.01/pi,burgers,False,2025,MS_hard_burgers_n5_qapinn_s2025
2016,False,,True,qapinn,5,0.01/pi,burgers,False,777,MS_hard_burgers_n5_qapinn_s777
2016,False,aimsgh-latitude7490,True,qapinn,6,0.01/pi,burgers,False,1234,MS_hard_burgers_n6_qapinn_s1234
2016,False,aimsgh-latitude7490,True,qapinn,6,0.01/pi,burgers,False,2025,MS_hard_burgers_n6_qapinn_s2025
2016,False,aimsgh-latitude7490,True,qapinn,6,0.01/pi,burgers,False,777,MS_hard_burgers_n6_qapinn_s777
2016,False,aimsgh-latitude7490,True,qapinn,7,0.01/pi,burgers,False,1234,MS_hard_burgers_n7_qapinn_s1234
2016,False,aimsgh-latitude7490,True,qapinn,7,0.01/pi,burgers,False,2025,MS_hard_burgers_n7_qapinn_s2025
2016,False,aimsgh-latitude7490,True,qapinn,7,0.01/pi,burgers,False,777,MS_hard_burgers_n7_qapinn_s777
703,False,roland-Latitude-7490,False,qapinn,8,0.01/pi,burgers,False,1234,MS_hard_burgers_n8_qapinn_s1234
703,False,roland-Latitude-7490,False,qapinn,8,0.01/pi,burgers,False,2025,MS_hard_burgers_n8_qapinn_s2025
703,False,roland-Latitude-7490,False,qapinn,8,0.01/pi,burgers,False,777,MS_hard_burgers_n8_qapinn_s777
2016,False,roland-Latitude-7490,True,twin,3,0.01/pi,burgers,False,1234,MS_hard_burgers_n3_twin_s1234
2016,False,roland-Latitude-7490,True,twin,3,0.01/pi,burgers,False,2025,MS_hard_burgers_n3_twin_s2025
2016,False,roland-Latitude-7490,True,twin,3,0.01/pi,burgers,False,777,MS_hard_burgers_n3_twin_s777
2016,False,roland-Latitude-7490,True,twin,4,0.01/pi,burgers,False,1234,MS_hard_burgers_n4_twin_s1234
2016,False,roland-Latitude-7490,True,twin,4,0.01/pi,burgers,False,2025,MS_hard_burgers_n4_twin_s2025
2016,False,roland-Latitude-7490,True,twin,4,0.01/pi,burgers,False,777,MS_hard_burgers_n4_twin_s777
2016,False,roland-Latitude-7490,True,twin,5,0.01/pi,burgers,False,1234,MS_hard_burgers_n5_twin_s1234
2016,False,roland-Latitude-7490,True,twin,5,0.01/pi,burgers,False,2025,MS_hard_burgers_n5_twin_s2025
2016,False,roland-Latitude-7490,True,twin,5,0.01/pi,burgers,False,777,MS_hard_burgers_n5_twin_s777
2016,False,roland-Latitude-7490,True,twin,6,0.01/pi,burgers,False,1234,MS_hard_burgers_n6_twin_s1234
2016,False,roland-Latitude-7490,True,twin,6,0.01/pi,burgers,False,2025,MS_hard_burgers_n6_twin_s2025
2016,False,roland-Latitude-7490,True,twin,6,0.01/pi,burgers,False,777,MS_hard_burgers_n6_twin_s777
2016,False,roland-Latitude-7490,True,twin,7,0.01/pi,burgers,False,1234,MS_hard_burgers_n7_twin_s1234
2016,False,roland-Latitude-7490,True,twin,7,0.01/pi,burgers,False,2025,MS_hard_burgers_n7_twin_s2025
2016,False,roland-Latitude-7490,True,twin,7,0.01/pi,burgers,False,777,MS_hard_burgers_n7_twin_s777
2016,False,roland-Latitude-7490,False,twin,8,0.01/pi,burgers,False,1234,MS_hard_burgers_n8_twin_s1234
2016,False,roland-Latitude-7490,False,twin,8,0.01/pi,burgers,False,2025,MS_hard_burgers_n8_twin_s2025
2016,False,roland-Latitude-7490,False,twin,8,0.01/pi,burgers,False,777,MS_hard_burgers_n8_twin_s777
