model,n_collocation,n_feat,n_samples,nu,pde,source,variance
qapinn,400,3,25,0.01/pi,burgers,computed_here,0.48955458402633667
qapinn,400,4,25,0.01/pi,burgers,computed_here,0.20937877893447876
qapinn,400,5,25,0.01/pi,burgers,computed_here,0.11207529902458191
qapinn,400,6,25,0.01/pi,burgers,computed_here,0.12912747263908386
qapinn,400,7,25,0.01/pi,burgers,computed_here,0.13759101927280426
qapinn,400,8,25,0.01/pi,burgers,computed_here,0.035325732082128525
twin,400,3,25,0.01/pi,burgers,computed_here,2.9094505310058594
twin,400,4,25,0.01/pi,burgers,computed_here,7.41098690032959
twin,400,5,25,0.01/pi,burgers,computed_here,1.1975122690200806
twin,400,6,25,0.01/pi,burgers,computed_here,1.690527081489563
twin,400,7,25,0.01/pi,burgers,computed_here,2.7577381134033203
twin,400,8,25,0.01/pi,burgers,computed_here,2.8381073474884033
gaaf,400,3,25,0.01/pi,burgers,computed_here,1523.8465576171875
gaaf,400,4,25,0.01/pi,burgers,computed_here,3058.079833984375
gaaf,400,5,25,0.01/pi,burgers,computed_here,856.5809936523438
gaaf,400,6,25,0.01/pi,burgers,computed_here,397.7237548828125
gaaf,400,7,25,0.01/pi,burgers,computed_here,749.1310424804688
gaaf,400,8,25,0.01/pi,burgers,computed_here,858.8087768554688
