measured_on,model,n_collocation,n_feat,sec_per_step
this machine,qapinn,400,3,0.31300529360005386
this machine,qapinn,400,4,0.5822400261999974
this machine,qapinn,400,5,0.9937312152000232
this machine,qapinn,400,6,2.070096794999972
this machine,qapinn,400,7,4.420090954399984
this machine,qapinn,400,8,8.802736814800028
this machine,twin,400,3,0.017928234200007866
this machine,twin,400,4,0.008928343200022937
this machine,twin,400,5,0.00895535200006634
this machine,twin,400,6,0.008659534999969765
this machine,twin,400,7,0.009359959399989747
this machine,twin,400,8,0.009120314399933705
this machine,gaaf,400,3,0.011391759799971623
this machine,gaaf,400,4,0.014087510000081238
this machine,gaaf,400,5,0.010849380000036036
this machine,gaaf,400,6,0.012734199000078661
this machine,gaaf,400,7,0.011907637399963278
this machine,gaaf,400,8,0.013805726600003254
