pde,model,qubits,seed,t,centroid_model,centroid_exact,hf_frac_model,hf_frac_exact
burgers,gaaf,3,777,1.0,0.60136,0.60122,0.0,0.0
burgers,gaaf,3,1234,1.0,0.52532,0.60122,6e-05,0.0
burgers,gaaf,3,2025,1.0,0.6013,0.60122,0.0,0.0
burgers,gaaf,4,777,1.0,0.60117,0.60122,0.0,0.0
burgers,gaaf,4,1234,1.0,0.60124,0.60122,0.0,0.0
burgers,gaaf,4,2025,1.0,0.60121,0.60122,0.0,0.0
burgers,gaaf,5,777,1.0,0.6019,0.60122,0.0,0.0
burgers,gaaf,5,1234,1.0,0.60114,0.60122,0.0,0.0
burgers,gaaf,5,2025,1.0,0.6012,0.60122,0.0,0.0
burgers,gaaf,6,777,1.0,0.60096,0.60122,0.0,0.0
burgers,gaaf,6,1234,1.0,0.60151,0.60122,0.0,0.0
burgers,gaaf,6,2025,1.0,0.60126,0.60122,0.0,0.0
burgers,gaaf,7,777,1.0,0.6012,0.60122,0.0,0.0
burgers,gaaf,7,1234,1.0,0.60135,0.60122,0.0,0.0
burgers,gaaf,7,2025,1.0,0.6013,0.60122,0.0,0.0
burgers,gaaf,8,777,1.0,0.60148,0.60122,0.0,0.0
burgers,gaaf,8,1234,1.0,0.60136,0.60122,0.0,0.0
burgers,gaaf,8,2025,1.0,0.60098,0.60122,0.0,0.0
burgers,qapinn,3,777,1.0,0.6017,0.60122,1e-05,0.0
burgers,qapinn,3,1234,1.0,0.60147,0.60122,0.0,0.0
burgers,qapinn,3,2025,1.0,0.60258,0.60122,0.0,0.0
burgers,qapinn,3,8080,1.0,0.60201,0.60122,0.0,0.0
burgers,qapinn,3,31415,1.0,0.60121,0.60122,1e-05,0.0
burgers,qapinn,4,777,1.0,0.60149,0.60122,0.0,0.0
burgers,qapinn,4,1234,1.0,0.60093,0.60122,0.0,0.0
burgers,qapinn,4,2025,1.0,0.60047,0.60122,2e-05,0.0
burgers,qapinn,4,8080,1.0,0.60134,0.60122,0.0,0.0
burgers,qapinn,4,31415,1.0,0.60121,0.60122,0.0,0.0
burgers,qapinn,5,777,1.0,0.60122,0.60122,0.0,0.0
burgers,qapinn,5,1234,1.0,0.601,0.60122,0.0,0.0
burgers,qapinn,5,2025,1.0,0.60135,0.60122,0.0,0.0
burgers,qapinn,5,8080,1.0,0.60185,0.60122,0.0,0.0
