tag,path,family,nu,pde,model,n_feat,seed,retry,note,dead,n_steps,loss_first,loss_final,loss_min,mse_u_final,mse_f_final,wall_s,L2,params
MS_hard_burgers_n3_gaaf_s1234,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n3_gaaf_s1234.pt,MS,0.01/pi,burgers,gaaf,3,1234,False,,False,2016,2.679185152053833,0.4668790400028229,0.4484391212463379,0.02168685756623745,0.2500104606151581,nan,nan,nan
MS_hard_burgers_n3_gaaf_s1234_r1,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n3_gaaf_s1234_r1.pt,MS,0.01/pi,burgers,gaaf,3,1234,True,,False,2016,3.2645277976989746,0.003168312832713127,0.003168312832713127,8.216431160690263e-05,0.002346669789403677,nan,0.167695,1801.0
MS_hard_burgers_n3_gaaf_s2025,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n3_gaaf_s2025.pt,MS,0.01/pi,burgers,gaaf,3,2025,False,,False,2016,2.0159964561462402,0.0002023648557951674,0.0002023648557951674,2.3848149339755764e-06,0.00017851671145763248,nan,0.03849192,1801.0
MS_hard_burgers_n3_gaaf_s777,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n3_gaaf_s777.pt,MS,0.01/pi,burgers,gaaf,3,777,False,,False,2016,3.4427554607391357,0.00011655851994873956,0.00011655851994873956,1.8743545524557703e-06,9.781497647054493e-05,nan,0.02071559,1801.0
MS_hard_burgers_n4_gaaf_s1234,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n4_gaaf_s1234.pt,MS,0.01/pi,burgers,gaaf,4,1234,False,,False,2016,2.521059036254883,0.46764659881591797,0.3631735146045685,0.02191818691790104,0.24846474826335907,nan,nan,nan
MS_hard_burgers_n4_gaaf_s1234_r1,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n4_gaaf_s1234_r1.pt,MS,0.01/pi,burgers,gaaf,4,1234,True,,False,2016,2.5069003105163574,8.565648749936372e-05,8.565648749936372e-05,7.523088356720109e-07,7.813340198481455e-05,nan,0.004703878,1827.0
MS_hard_burgers_n4_gaaf_s2025,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n4_gaaf_s2025.pt,MS,0.01/pi,burgers,gaaf,4,2025,False,,False,2016,3.475022554397583,0.46790826320648193,0.4496638774871826,0.021929170936346054,0.2486165463924408,nan,nan,nan
MS_hard_burgers_n4_gaaf_s2025_r1,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n4_gaaf_s2025_r1.pt,MS,0.01/pi,burgers,gaaf,4,2025,True,,False,2016,6.453686237335205,0.002437242306768894,0.002437242306768894,5.0918875786010176e-05,0.0019280535634607077,nan,0.04619087,1827.0
MS_hard_burgers_n4_gaaf_s777,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n4_gaaf_s777.pt,MS,0.01/pi,burgers,gaaf,4,777,False,,False,2016,9.054924011230469,2.438525915145874,0.4538537859916687,0.24385260045528412,2.2060165059177365e-19,nan,nan,nan
MS_hard_burgers_n4_gaaf_s777_r1,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n4_gaaf_s777_r1.pt,MS,0.01/pi,burgers,gaaf,4,777,True,,False,2016,3.469235897064209,6.667120760539547e-05,6.667120760539547e-05,6.848201223874639e-07,5.982300717732869e-05,nan,0.009241683,1827.0
MS_hard_burgers_n5_gaaf_s1234,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n5_gaaf_s1234.pt,MS,0.01/pi,burgers,gaaf,5,1234,False,,False,2016,2.986018657684326,0.00016680877888575196,0.00016680877888575196,1.884442554000998e-06,0.00014796435425523669,nan,0.02676422,1853.0
MS_hard_burgers_n5_gaaf_s2025,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n5_gaaf_s2025.pt,MS,0.01/pi,burgers,gaaf,5,2025,False,,False,2016,3.5152759552001953,0.016080103814601898,0.016080103814601898,0.0004155908536631614,0.011924195103347301,nan,0.2872913,1853.0
MS_hard_burgers_n5_gaaf_s777,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n5_gaaf_s777.pt,MS,0.01/pi,burgers,gaaf,5,777,False,,False,2016,1.989587426185608,0.006837996654212475,0.006837996654212475,0.00015266804257407784,0.005311316344887018,nan,0.07712665,1853.0
MS_hard_burgers_n6_gaaf_s1234,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n6_gaaf_s1234.pt,MS,0.01/pi,burgers,gaaf,6,1234,False,,False,2016,2.026813507080078,0.005527795292437077,0.005527795292437077,8.273129060398787e-05,0.004700482357293367,nan,0.07726974,1879.0
MS_hard_burgers_n6_gaaf_s2025,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n6_gaaf_s2025.pt,MS,0.01/pi,burgers,gaaf,6,2025,False,,False,2016,4.440781593322754,0.00026625191094353795,0.00026625191094353795,5.3641047088603955e-06,0.0002126108593074605,nan,0.0910829,1879.0
MS_hard_burgers_n6_gaaf_s777,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n6_gaaf_s777.pt,MS,0.01/pi,burgers,gaaf,6,777,False,,False,2016,2.0467991828918457,0.0009815285447984934,0.0009815285447984934,1.2227419574628584e-05,0.0008592543890699744,nan,0.0658471,1879.0
MS_hard_burgers_n7_gaaf_s1234,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n7_gaaf_s1234.pt,MS,0.01/pi,burgers,gaaf,7,1234,False,,False,2016,5.583352088928223,0.0025486238300800323,0.0025486238300800323,4.1271730879088864e-05,0.0021359066013246775,nan,0.07456786,1905.0
MS_hard_burgers_n7_gaaf_s2025,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n7_gaaf_s2025.pt,MS,0.01/pi,burgers,gaaf,7,2025,False,,False,2016,1.7500966787338257,0.007606659550219774,0.007606659550219774,0.0001289334468310699,0.006317324936389923,nan,0.09694402,1905.0
MS_hard_burgers_n7_gaaf_s777,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n7_gaaf_s777.pt,MS,0.01/pi,burgers,gaaf,7,777,False,,False,2016,13.281122207641602,0.011586658656597137,0.011586658656597137,0.00028711307095363736,0.008715528063476086,nan,0.1977942,1905.0
MS_hard_burgers_n8_gaaf_s1234,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n8_gaaf_s1234.pt,MS,0.01/pi,burgers,gaaf,8,1234,False,,False,2016,1.9534605741500854,0.00021074087999295443,0.00021074087999295443,2.971423100461834e-06,0.00018102665490005165,nan,0.009368587,1931.0
MS_hard_burgers_n8_gaaf_s2025,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n8_gaaf_s2025.pt,MS,0.01/pi,burgers,gaaf,8,2025,False,,False,2016,3.4684407711029053,0.00696907052770257,0.00696907052770257,0.00015033112140372396,0.005465759430080652,nan,0.1475599,1931.0
MS_hard_burgers_n8_gaaf_s777,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n8_gaaf_s777.pt,MS,0.01/pi,burgers,gaaf,8,777,False,,False,2016,3.4688971042633057,0.017865752801299095,0.017865752801299095,0.00045950201456435025,0.013270732015371323,nan,0.1662358,1931.0
MS_hard_burgers_n3_twin_s1234,WISER Results/Phase 2 Hard Burger/c-PINN/qapinn_runs_hardnu_twin/checkpoints/MS_hard_burgers_n3_twin_s1234.pt,MS,0.01/pi,burgers,twin,3,1234,False,,False,2016,2.679185152053833,0.0006454524118453264,0.0006454524118453264,6.592073077626992e-06,0.0005795316537842155,nan,0.02043364,1801.0
MS_hard_burgers_n3_twin_s2025,WISER Results/Phase 2 Hard Burger/c-PINN/qapinn_runs_hardnu_twin/checkpoints/MS_hard_burgers_n3_twin_s2025.pt,MS,0.01/pi,burgers,twin,3,2025,False,,False,2016,2.0159964561462402,0.0001605745783308521,0.0001605745783308521,1.5492786360482569e-06,0.00014508179447147995,nan,0.008740495,1801.0
MS_hard_burgers_n3_twin_s777,WISER Results/Phase 2 Hard Burger/c-PINN/qapinn_runs_hardnu_twin/checkpoints/MS_hard_burgers_n3_twin_s777.pt,MS,0.01/pi,burgers,twin,3,777,False,,False,2016,3.4427554607391357,0.00033649857505224645,0.00033649857505224645,5.9986191445204895e-06,0.00027651237905956805,nan,0.01097449,1801.0
MS_hard_burgers_n4_twin_s1234,WISER Results/Phase 2 Hard Burger/c-PINN/qapinn_runs_hardnu_twin/checkpoints/MS_hard_burgers_n4_twin_s1234.pt,MS,0.01/pi,burgers,twin,4,1234,False,,False,2016,2.521059036254883,0.002387852407991886,0.002387852407991886,3.8382211641874164e-05,0.002004030393436551,nan,0.09329938,1827.0
MS_hard_burgers_n4_twin_s2025,WISER Results/Phase 2 Hard Burger/c-PINN/qapinn_runs_hardnu_twin/checkpoints/MS_hard_burgers_n4_twin_s2025.pt,MS,0.01/pi,burgers,twin,4,2025,False,,False,2016,3.475022554397583,0.0014938362874090672,0.0014938362874090672,1.5540386812062934e-05,0.0013384324265643954,nan,0.03674185,1827.0
MS_hard_burgers_n4_twin_s777,WISER Results/Phase 2 Hard Burger/c-PINN/qapinn_runs_hardnu_twin/checkpoints/MS_hard_burgers_n4_twin_s777.pt,MS,0.01/pi,burgers,twin,4,777,False,,False,2016,9.054924011230469,0.00025455368449911475,0.00025455368449911475,2.6510831503401278e-06,0.00022804285981692374,nan,0.005770562,1827.0
MS_hard_burgers_n5_twin_s1234,WISER Results/Phase 2 Hard Burger/c-PINN/qapinn_runs_hardnu_twin/checkpoints/MS_hard_burgers_n5_twin_s1234.pt,MS,0.01/pi,burgers,twin,5,1234,False,,False,2016,2.986018657684326,0.0025459108874201775,0.0025459108874201775,2.898123966588173e-05,0.002256098436191678,nan,0.5826507,1853.0
MS_hard_burgers_n5_twin_s2025,WISER Results/Phase 2 Hard Burger/c-PINN/qapinn_runs_hardnu_twin/checkpoints/MS_hard_burgers_n5_twin_s2025.pt,MS,0.01/pi,burgers,twin,5,2025,False,,False,2016,3.5152759552001953,0.0002122966106981039,0.0002122966106981039,3.3311816878267564e-06,0.00017898478836286813,nan,0.01073502,1853.0
MS_hard_burgers_n5_twin_s777,WISER Results/Phase 2 Hard Burger/c-PINN/qapinn_runs_hardnu_twin/checkpoints/MS_hard_burgers_n5_twin_s777.pt,MS,0.01/pi,burgers,twin,5,777,False,,False,2016,1.989587426185608,3.885248224833049e-05,3.885248224833049e-05,3.8547503322661214e-07,3.499773083603941e-05,nan,0.001927371,1853.0
MS_hard_burgers_n6_twin_s1234,WISER Results/Phase 2 Hard Burger/c-PINN/qapinn_runs_hardnu_twin/checkpoints/MS_hard_burgers_n6_twin_s1234.pt,MS,0.01/pi,burgers,twin,6,1234,False,,False,2016,2.026813507080078,5.44569302292075e-05,5.44569302292075e-05,3.627722264809563e-07,5.082920688437298e-05,nan,0.005695397,1879.0
MS_hard_burgers_n6_twin_s2025,WISER Results/Phase 2 Hard Burger/c-PINN/qapinn_runs_hardnu_twin/checkpoints/MS_hard_burgers_n6_twin_s2025.pt,MS,0.01/pi,burgers,twin,6,2025,False,,False,2016,4.440781593322754,2.662289625732228e-05,2.662289625732228e-05,1.957534010443851e-07,2.466536170686595e-05,nan,0.006373223,1879.0
MS_hard_burgers_n6_twin_s777,WISER Results/Phase 2 Hard Burger/c-PINN/qapinn_runs_hardnu_twin/checkpoints/MS_hard_burgers_n6_twin_s777.pt,MS,0.01/pi,burgers,twin,6,777,False,,False,2016,2.0467991828918457,0.0001103262766264379,0.0001103262766264379,9.413587349627051e-07,0.00010091268632095307,nan,0.005045649,1879.0
MS_hard_burgers_n7_twin_s1234,WISER Results/Phase 2 Hard Burger/c-PINN/qapinn_runs_hardnu_twin/checkpoints/MS_hard_burgers_n7_twin_s1234.pt,MS,0.01/pi,burgers,twin,7,1234,False,,False,2016,5.583352088928223,4.803968113265e-05,4.803968113265e-05,3.4017961070276215e-07,4.463788354769349e-05,nan,0.004176404,1905.0
MS_hard_burgers_n7_twin_s2025,WISER Results/Phase 2 Hard Burger/c-PINN/qapinn_runs_hardnu_twin/checkpoints/MS_hard_burgers_n7_twin_s2025.pt,MS,0.01/pi,burgers,twin,7,2025,False,,False,2016,1.7500966787338257,0.023023243993520737,0.023023243993520737,0.0005281079793348908,0.017742164433002472,nan,0.1934996,1905.0
