pde,model,n_feat,n_runs,n_slices,cka_first_mean,cka_first_sd,cka_first_min,cka_first_max
burgers,gaaf,3,4,26,0.6202569313145951,0.20234342277473133,0.3653456680211377,0.8299590881443805
burgers,gaaf,4,6,26,0.623963131241824,0.2051063525285922,0.3707624490255707,0.862602057214492
burgers,gaaf,5,3,26,0.5928717629523327,0.10856592792411986,0.378988387724033,0.8042599412852832
burgers,gaaf,6,3,26,0.5754059122036187,0.11268087270788815,0.4454134334447079,0.838580299908329
burgers,gaaf,7,3,26,0.7034340110294005,0.08907143643846115,0.5662932954253957,0.8904970964389934
burgers,gaaf,8,3,26,0.6274470948460286,0.13345090584423702,0.3948860714723946,0.8710725453911585
burgers,qapinn,3,7,26,0.6007038166410609,0.16090151947289946,0.2847030734553501,0.9065523800006992
burgers,qapinn,4,7,26,0.7100276867090308,0.1457697055062649,0.4084103415297024,0.9777100479767384
burgers,qapinn,5,7,26,0.6655071610502662,0.12006542682020638,0.4060864027411382,0.9141507027921943
burgers,qapinn,6,1,26,0.6490058827573006,0.0470839830535156,0.5826347826774659,0.738312254397898
burgers,qapinn,7,1,26,0.7562600860669222,0.11272221795611882,0.5187241941718524,0.8850274578367079
burgers,qapinn,8,1,26,0.9227036010849436,0.03098359374985656,0.845998851342698,0.9506039748720824
burgers,twin,3,7,26,0.4944567776636287,0.15157393255196705,0.3157682818025339,0.7364468217409533
burgers,twin,4,6,26,0.4190244537304383,0.0707250324128759,0.343090061373634,0.61968821332205
burgers,twin,5,6,26,0.6026753401137425,0.08183399179263033,0.4485688330448417,0.8082400341441324
burgers,twin,6,3,26,0.4788522706948426,0.10026975167864083,0.3794018805508838,0.7768739499965455
burgers,twin,7,3,26,0.640765054239595,0.10295310378282885,0.4820437124981385,0.8656901618226457
burgers,twin,8,3,26,0.6206520730461038,0.09886085421728931,0.480553849667619,0.8504138835343976
heat,gaaf,3,5,26,0.6274606655172168,0.04210821417614481,0.5841462841621778,0.7100387085888493
heat,gaaf,4,4,26,0.6156704051943228,0.04508980124999994,0.5438266006642627,0.6881739108050613
heat,gaaf,5,5,26,0.7024913409735676,0.013892138877276252,0.6733105176294918,0.7280123830523054
heat,gaaf,6,3,26,0.6241164082513893,0.017793384751013965,0.6029101578420006,0.6559444328493639
heat,gaaf,7,5,26,0.668327161823757,0.056017512488596696,0.6142418331725906,0.7582474113230154
heat,gaaf,8,4,26,0.6870458463076898,0.07676886840377498,0.5471053920918898,0.7756038392143575
heat,qapinn,3,5,26,0.5671990729356994,0.31640794518237775,0.0424466080418236,0.869798152125905
heat,qapinn,4,7,26,0.7245342409675145,0.13212308096040384,0.5082117610016629,0.9142298919543967
heat,qapinn,5,5,26,0.6976352070316053,0.17811164281257877,0.3500398782579205,0.8844768140453885
heat,qapinn,6,4,26,0.6820374608498305,0.14060831472529095,0.471444787175084,0.8885757957730558
heat,qapinn,7,4,26,0.8037950318119941,0.13329930348773986,0.4974169615745417,0.9512901525023986
heat,qapinn,8,4,26,0.7531407702834632,0.16219875985078164,0.3659057392819398,0.9771624114262218
heat,twin,3,4,26,0.629654007396604,0.03341211058907752,0.5766774090036317,0.6841694589109939
heat,twin,4,7,26,0.6223748142488359,0.025029266593723967,0.5619566974290859,0.6741767658663166
heat,twin,5,5,26,0.6982146644407409,0.037041046112473004,0.6120196082173603,0.7476081191516046
heat,twin,6,4,26,0.6738711386421741,0.05809744626893419,0.5989021469393194,0.7451949796914396
heat,twin,7,4,26,0.6695576839596098,0.050501927120028184,0.6092290699649562,0.7215330585000119
heat,twin,8,3,26,0.7032467191394454,0.03786267513683242,0.6428484104841417,0.7406740922698241
