tag,pde,n_feat,model,seed,source,t,centroid_model,hf_model,centroid_exact,hf_exact,centroid_err,abs_err
MS_burgers_n3_gaaf_s1234_r1,burgers,3,gaaf,1234,MS,0.25,0.5257455209896723,6.353752853422398e-05,0.5527385042446051,1.40434210757614e-06,-0.026992983254932823,0.026992983254932823
MS_burgers_n3_gaaf_s1234_r1,burgers,3,gaaf,1234,MS,0.5,0.5255614614314423,5.996566801020745e-05,0.610342190741679,9.955402581416152e-07,-0.08478072931023661,0.08478072931023661
MS_burgers_n3_gaaf_s1234_r1,burgers,3,gaaf,1234,MS,0.75,0.5254199152391177,5.672529561890698e-05,0.6155906794316344,9.338412206059664e-07,-0.09017076419251668,0.09017076419251668
MS_burgers_n3_gaaf_s1234_r1,burgers,3,gaaf,1234,MS,1.0,0.5253201574696758,5.378953582864395e-05,0.601216735606354,9.634290999399992e-07,-0.07589657813667827,0.07589657813667827
MS_burgers_n3_gaaf_s2025,burgers,3,gaaf,2025,MS,0.25,0.5525387819722754,1.2483598886056967e-06,0.5527385042446051,1.40434210757614e-06,-0.00019972227232978312,0.00019972227232978312
MS_burgers_n3_gaaf_s2025,burgers,3,gaaf,2025,MS,0.5,0.6100830103224111,1.2125699237438987e-06,0.610342190741679,9.955402581416152e-07,-0.00025918041926786817,0.00025918041926786817
MS_burgers_n3_gaaf_s2025,burgers,3,gaaf,2025,MS,0.75,0.6159860485001475,7.119443989254301e-07,0.6155906794316344,9.338412206059664e-07,0.00039536906851311837,0.00039536906851311837
MS_burgers_n3_gaaf_s2025,burgers,3,gaaf,2025,MS,1.0,0.6013022021794054,1.562909539468971e-06,0.601216735606354,9.634290999399992e-07,8.546657305141814e-05,8.546657305141814e-05
MS_burgers_n3_gaaf_s777,burgers,3,gaaf,777,MS,0.25,0.5522316617111224,1.2984430604277998e-06,0.5527385042446051,1.40434210757614e-06,-0.0005068425334827653,0.0005068425334827653
MS_burgers_n3_gaaf_s777,burgers,3,gaaf,777,MS,0.5,0.609961667891197,1.1305907397297394e-06,0.610342190741679,9.955402581416152e-07,-0.0003805228504819569,0.0003805228504819569
MS_burgers_n3_gaaf_s777,burgers,3,gaaf,777,MS,0.75,0.6156535511611153,9.763884032816076e-07,0.6155906794316344,9.338412206059664e-07,6.287172948094e-05,6.287172948094e-05
MS_burgers_n3_gaaf_s777,burgers,3,gaaf,777,MS,1.0,0.601356058721525,7.237575512131476e-07,0.601216735606354,9.634290999399992e-07,0.00013932311517095286,0.00013932311517095286
MS_burgers_n3_twin_s1234_r1,burgers,3,twin,1234,MS,0.25,0.551593823030522,4.879090056822515e-06,0.5527385042446051,1.40434210757614e-06,-0.0011446812140831764,0.0011446812140831764
