tag,path,decision,reason
qapinn_3qubit_checkpoint,BQP_WISER_2026/phase2_3qubit/checkpoints/qapinn_3qubit_checkpoint.pt,excluded,tag did not parse
MS_hard_burgers_n3_gaaf_s1234,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n3_gaaf_s1234.pt,kept,
MS_hard_burgers_n3_gaaf_s1234_r1,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n3_gaaf_s1234_r1.pt,kept,
MS_hard_burgers_n3_gaaf_s2025,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n3_gaaf_s2025.pt,kept,
MS_hard_burgers_n3_gaaf_s777,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n3_gaaf_s777.pt,kept,
MS_hard_burgers_n4_gaaf_s1234,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n4_gaaf_s1234.pt,kept,
MS_hard_burgers_n4_gaaf_s1234_r1,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n4_gaaf_s1234_r1.pt,kept,
MS_hard_burgers_n4_gaaf_s2025,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n4_gaaf_s2025.pt,kept,
MS_hard_burgers_n4_gaaf_s2025_r1,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n4_gaaf_s2025_r1.pt,kept,
MS_hard_burgers_n4_gaaf_s777,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n4_gaaf_s777.pt,kept,
MS_hard_burgers_n4_gaaf_s777_r1,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n4_gaaf_s777_r1.pt,kept,
MS_hard_burgers_n5_gaaf_s1234,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n5_gaaf_s1234.pt,kept,
MS_hard_burgers_n5_gaaf_s2025,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n5_gaaf_s2025.pt,kept,
MS_hard_burgers_n5_gaaf_s777,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n5_gaaf_s777.pt,kept,
MS_hard_burgers_n6_gaaf_s1234,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n6_gaaf_s1234.pt,kept,
MS_hard_burgers_n6_gaaf_s2025,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n6_gaaf_s2025.pt,kept,
MS_hard_burgers_n6_gaaf_s777,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n6_gaaf_s777.pt,kept,
MS_hard_burgers_n7_gaaf_s1234,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n7_gaaf_s1234.pt,kept,
MS_hard_burgers_n7_gaaf_s2025,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n7_gaaf_s2025.pt,kept,
MS_hard_burgers_n7_gaaf_s777,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n7_gaaf_s777.pt,kept,
MS_hard_burgers_n8_gaaf_s1234,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n8_gaaf_s1234.pt,kept,
MS_hard_burgers_n8_gaaf_s2025,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n8_gaaf_s2025.pt,kept,
MS_hard_burgers_n8_gaaf_s777,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n8_gaaf_s777.pt,kept,
