decision,path,reason,tag
excluded,BQP_WISER_2026/phase2_3qubit/checkpoints/qapinn_3qubit_checkpoint.pt,tag matched no known naming convention,qapinn_3qubit_checkpoint
selected,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n3_gaaf_s1234.pt,,MS_hard_burgers_n3_gaaf_s1234
selected,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n3_gaaf_s1234_r1.pt,,MS_hard_burgers_n3_gaaf_s1234_r1
selected,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n3_gaaf_s2025.pt,,MS_hard_burgers_n3_gaaf_s2025
selected,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n3_gaaf_s777.pt,,MS_hard_burgers_n3_gaaf_s777
selected,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n4_gaaf_s1234.pt,,MS_hard_burgers_n4_gaaf_s1234
selected,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n4_gaaf_s1234_r1.pt,,MS_hard_burgers_n4_gaaf_s1234_r1
selected,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n4_gaaf_s2025.pt,,MS_hard_burgers_n4_gaaf_s2025
selected,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n4_gaaf_s2025_r1.pt,,MS_hard_burgers_n4_gaaf_s2025_r1
selected,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n4_gaaf_s777.pt,,MS_hard_burgers_n4_gaaf_s777
selected,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n4_gaaf_s777_r1.pt,,MS_hard_burgers_n4_gaaf_s777_r1
selected,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n5_gaaf_s1234.pt,,MS_hard_burgers_n5_gaaf_s1234
selected,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n5_gaaf_s2025.pt,,MS_hard_burgers_n5_gaaf_s2025
selected,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n5_gaaf_s777.pt,,MS_hard_burgers_n5_gaaf_s777
selected,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n6_gaaf_s1234.pt,,MS_hard_burgers_n6_gaaf_s1234
selected,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n6_gaaf_s2025.pt,,MS_hard_burgers_n6_gaaf_s2025
selected,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n6_gaaf_s777.pt,,MS_hard_burgers_n6_gaaf_s777
selected,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n7_gaaf_s1234.pt,,MS_hard_burgers_n7_gaaf_s1234
selected,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n7_gaaf_s2025.pt,,MS_hard_burgers_n7_gaaf_s2025
selected,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n7_gaaf_s777.pt,,MS_hard_burgers_n7_gaaf_s777
selected,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n8_gaaf_s1234.pt,,MS_hard_burgers_n8_gaaf_s1234
selected,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n8_gaaf_s2025.pt,,MS_hard_burgers_n8_gaaf_s2025
selected,WISER Results/Phase 2 Hard Burger/GAAF-PINN/qapinn_runs_hardnu_gaaf/checkpoints/MS_hard_burgers_n8_gaaf_s777.pt,,MS_hard_burgers_n8_gaaf_s777
selected,WISER Results/Phase 2 Hard Burger/QAPINN N35/qapinn_runs_hardnu_q345/checkpoints/MS_hard_burgers_n3_qapinn_s1234.pt,,MS_hard_burgers_n3_qapinn_s1234
selected,WISER Results/Phase 2 Hard Burger/QAPINN N35/qapinn_runs_hardnu_q345/checkpoints/MS_hard_burgers_n3_qapinn_s2025.pt,,MS_hard_burgers_n3_qapinn_s2025
selected,WISER Results/Phase 2 Hard Burger/QAPINN N35/qapinn_runs_hardnu_q345/checkpoints/MS_hard_burgers_n3_qapinn_s777.pt,,MS_hard_burgers_n3_qapinn_s777
selected,WISER Results/Phase 2 Hard Burger/QAPINN N35/qapinn_runs_hardnu_q345/checkpoints/MS_hard_burgers_n4_qapinn_s1234.pt,,MS_hard_burgers_n4_qapinn_s1234
selected,WISER Results/Phase 2 Hard Burger/QAPINN N35/qapinn_runs_hardnu_q345/checkpoints/MS_hard_burgers_n4_qapinn_s2025.pt,,MS_hard_burgers_n4_qapinn_s2025
selected,WISER Results/Phase 2 Hard Burger/QAPINN N35/qapinn_runs_hardnu_q345/checkpoints/MS_hard_burgers_n4_qapinn_s777.pt,,MS_hard_burgers_n4_qapinn_s777
selected,WISER Results/Phase 2 Hard Burger/QAPINN N35/qapinn_runs_hardnu_q345/checkpoints/MS_hard_burgers_n5_qapinn_s1234.pt,,MS_hard_burgers_n5_qapinn_s1234
selected,WISER Results/Phase 2 Hard Burger/QAPINN N35/qapinn_runs_hardnu_q345/checkpoints/MS_hard_burgers_n5_qapinn_s2025.pt,,MS_hard_burgers_n5_qapinn_s2025
selected,WISER Results/Phase 2 Hard Burger/QAPINN N35/qapinn_runs_hardnu_q345/checkpoints/MS_hard_burgers_n5_qapinn_s777.pt,,MS_hard_burgers_n5_qapinn_s777
selected,WISER Results/Phase 2 Hard Burger/QAPINN N6/qapinn_runs_hardnu_q6/checkpoints/MS_hard_burgers_n6_qapinn_s1234.pt,,MS_hard_burgers_n6_qapinn_s1234
selected,WISER Results/Phase 2 Hard Burger/QAPINN N6/qapinn_runs_hardnu_q6/checkpoints/MS_hard_burgers_n6_qapinn_s2025.pt,,MS_hard_burgers_n6_qapinn_s2025
selected,WISER Results/Phase 2 Hard Burger/QAPINN N6/qapinn_runs_hardnu_q6/checkpoints/MS_hard_burgers_n6_qapinn_s777.pt,,MS_hard_burgers_n6_qapinn_s777
selected,WISER Results/Phase 2 Hard Burger/QAPINN N7/qapinn_runs_hardnu_q7/checkpoints/MS_hard_burgers_n7_qapinn_s1234.pt,,MS_hard_burgers_n7_qapinn_s1234
selected,WISER Results/Phase 2 Hard Burger/QAPINN N7/qapinn_runs_hardnu_q7/checkpoints/MS_hard_burgers_n7_qapinn_s2025.pt,,MS_hard_burgers_n7_qapinn_s2025
selected,WISER Results/Phase 2 Hard Burger/QAPINN N7/qapinn_runs_hardnu_q7/checkpoints/MS_hard_burgers_n7_qapinn_s777.pt,,MS_hard_burgers_n7_qapinn_s777
selected,WISER Results/Phase 2 Hard Burger/QAPINN N8/qapinn_runs_hardnu_q8/checkpoints/MS_hard_burgers_n8_qapinn_s1234.pt,,MS_hard_burgers_n8_qapinn_s1234
selected,WISER Results/Phase 2 Hard Burger/QAPINN N8/qapinn_runs_hardnu_q8/checkpoints/MS_hard_burgers_n8_qapinn_s2025.pt,,MS_hard_burgers_n8_qapinn_s2025
